timestamp,symbol,price
2025-09-20T14:30:22.051736,AAPL,150.41
2025-09-20T14:30:22.065330,AAPL,149.98
2025-09-20T14:30:22.078046,AAPL,156.13
2025-09-20T14:30:22.089286,AAPL,151.09
2025-09-20T14:30:22.101868,AAPL,147.72
2025-09-20T14:30:22.114472,AAPL,143.58
2025-09-20T14:30:22.126155,AAPL,147.58
2025-09-20T14:30:22.139015,AAPL,149.94
2025-09-20T14:30:22.149664,AAPL,148.76
2025-09-20T14:30:22.162233,AAPL,152.35
2025-09-20T14:30:22.174778,AAPL,154.6
2025-09-20T14:30:22.187338,AAPL,153.78
2025-09-20T14:30:22.199891,AAPL,152.21
2025-09-20T14:30:22.212406,AAPL,150.34
2025-09-20T14:30:22.225119,AAPL,151.95
2025-09-20T14:30:22.237737,AAPL,152.36
2025-09-20T14:30:22.251526,AAPL,147.16
2025-09-20T14:30:22.264162,AAPL,146.4
2025-09-20T14:30:22.276711,AAPL,140.69
2025-09-20T14:30:22.289251,AAPL,142.04
2025-09-20T14:30:22.301807,AAPL,140.26
2025-09-20T14:30:22.314362,AAPL,139.04
2025-09-20T14:30:22.326899,AAPL,139.8
2025-09-20T14:30:22.339419,AAPL,145.91
2025-09-20T14:30:22.351957,AAPL,147.92
2025-09-20T14:30:22.364508,AAPL,149.12
2025-09-20T14:30:22.377043,AAPL,145.52
2025-09-20T14:30:22.389565,AAPL,141.95
2025-09-20T14:30:22.402092,AAPL,144.09
2025-09-20T14:30:22.414635,AAPL,146.86
2025-09-20T14:30:22.427203,AAPL,141.26
2025-09-20T14:30:22.439759,AAPL,145.01
2025-09-20T14:30:22.452313,AAPL,144.05
2025-09-20T14:30:22.464871,AAPL,146.46
2025-09-20T14:30:22.477445,AAPL,149.55
2025-09-20T14:30:22.488228,AAPL,150.54
2025-09-20T14:30:22.500838,AAPL,150.99
2025-09-20T14:30:22.513406,AAPL,156.16
2025-09-20T14:30:22.525333,AAPL,158.86
2025-09-20T14:30:22.537952,AAPL,159.04
2025-09-20T14:30:22.549276,AAPL,155.9
2025-09-20T14:30:22.561911,AAPL,161.6
2025-09-20T14:30:22.573185,AAPL,161.46
2025-09-20T14:30:22.583711,AAPL,160.42
2025-09-20T14:30:22.594679,AAPL,158.58
2025-09-20T14:30:22.607311,AAPL,161.94
2025-09-20T14:30:22.618416,AAPL,161.46
2025-09-20T14:30:22.629993,AAPL,163.77
2025-09-20T14:30:22.640806,AAPL,159.31
2025-09-20T14:30:22.652782,AAPL,160.63
2025-09-20T14:30:22.665369,AAPL,159.73
2025-09-20T14:30:22.677973,AAPL,160.57
2025-09-20T14:30:22.688168,AAPL,162.13
2025-09-20T14:30:22.700743,AAPL,162.86
2025-09-20T14:30:22.713045,AAPL,161.46
2025-09-20T14:30:22.725640,AAPL,167.01
2025-09-20T14:30:22.738243,AAPL,167.29
2025-09-20T14:30:22.750818,AAPL,167.47
2025-09-20T14:30:22.762518,AAPL,173.02
2025-09-20T14:30:22.775111,AAPL,172.74
2025-09-20T14:30:22.787690,AAPL,169.76
2025-09-20T14:30:22.800263,AAPL,168.68
2025-09-20T14:30:22.810840,AAPL,168.58
2025-09-20T14:30:22.823632,AAPL,167.11
2025-09-20T14:30:22.836214,AAPL,166.72
2025-09-20T14:30:22.848058,AAPL,161.15
2025-09-20T14:30:22.859353,AAPL,160.13
2025-09-20T14:30:22.871385,AAPL,159.76
2025-09-20T14:30:22.883996,AAPL,157.48
2025-09-20T14:30:22.896573,AAPL,154.52
2025-09-20T14:30:22.909173,AAPL,150.81
2025-09-20T14:30:22.921788,AAPL,150.6
2025-09-20T14:30:22.932784,AAPL,151.16
2025-09-20T14:30:22.944669,AAPL,155.94
2025-09-20T14:30:22.954900,AAPL,153.78
2025-09-20T14:30:22.965867,AAPL,150.65
2025-09-20T14:30:22.976829,AAPL,151.75
2025-09-20T14:30:22.989431,AAPL,150.74
2025-09-20T14:30:23.002062,AAPL,155.3
2025-09-20T14:30:23.012752,AAPL,152.87
2025-09-20T14:30:23.024549,AAPL,152.46
2025-09-20T14:30:23.037237,AAPL,151.03
2025-09-20T14:30:23.047440,AAPL,151.26
2025-09-20T14:30:23.058160,AAPL,147.97
2025-09-20T14:30:23.070868,AAPL,145.43
2025-09-20T14:30:23.081946,AAPL,143.64
2025-09-20T14:30:23.094584,AAPL,143.75
2025-09-20T14:30:23.105362,AAPL,143.58
2025-09-20T14:30:23.116470,AAPL,142.75
2025-09-20T14:30:23.128824,AAPL,145.88
2025-09-20T14:30:23.140833,AAPL,149.73
2025-09-20T14:30:23.153458,AAPL,152.9
2025-09-20T14:30:23.165594,AAPL,149.09
2025-09-20T14:30:23.177536,AAPL,148.15
2025-09-20T14:30:23.190131,AAPL,151.1
2025-09-20T14:30:23.202192,AAPL,149.14
2025-09-20T14:30:23.214767,AAPL,146.94
2025-09-20T14:30:23.227319,AAPL,146.63
2025-09-20T14:30:23.239875,AAPL,147.66
2025-09-20T14:30:23.252421,AAPL,143.5
2025-09-20T14:30:23.264966,AAPL,139.6
2025-09-20T14:30:23.277517,AAPL,139.66
2025-09-20T14:30:23.288211,AAPL,140.83
2025-09-20T14:30:23.300754,AAPL,142.34
2025-09-20T14:30:23.313077,AAPL,143.02
2025-09-20T14:30:23.325648,AAPL,139.69
2025-09-20T14:30:23.336904,AAPL,143.32
2025-09-20T14:30:23.349459,AAPL,140.85
2025-09-20T14:30:23.361247,AAPL,138.65
2025-09-20T14:30:23.373808,AAPL,138.71
2025-09-20T14:30:23.384300,AAPL,141.99
2025-09-20T14:30:23.394871,AAPL,143.67
2025-09-20T14:30:23.404956,AAPL,146.38
2025-09-20T14:30:23.417523,AAPL,148.65
2025-09-20T14:30:23.430091,AAPL,149.47
2025-09-20T14:30:23.442496,AAPL,151.39
2025-09-20T14:30:23.455051,AAPL,150.06
2025-09-20T14:30:23.467587,AAPL,151.79
2025-09-20T14:30:23.480123,AAPL,148.72
2025-09-20T14:30:23.492700,AAPL,151.56
2025-09-20T14:30:23.504983,AAPL,152.34
2025-09-20T14:30:23.517630,AAPL,151.73
2025-09-20T14:30:23.528482,AAPL,153.85
2025-09-20T14:30:23.539732,AAPL,158.23
2025-09-20T14:30:23.550945,AAPL,163.96
2025-09-20T14:30:23.563673,AAPL,165.59
2025-09-20T14:30:23.574349,AAPL,167.03
2025-09-20T14:30:23.585661,AAPL,170.46
2025-09-20T14:30:23.596601,AAPL,167.5
2025-09-20T14:30:23.607402,AAPL,166.15
2025-09-20T14:30:23.619962,AAPL,165.5
2025-09-20T14:30:23.632539,AAPL,166.32
2025-09-20T14:30:23.643302,AAPL,169.8
2025-09-20T14:30:23.654959,AAPL,168.51
2025-09-20T14:30:23.667602,AAPL,168.07
2025-09-20T14:30:23.679240,AAPL,170.11
2025-09-20T14:30:23.693067,AAPL,167.69
2025-09-20T14:30:23.712687,AAPL,164.11
2025-09-20T14:30:23.723080,AAPL,160.31
2025-09-20T14:30:23.734278,AAPL,156.92
2025-09-20T14:30:23.745509,AAPL,165.15
2025-09-20T14:30:23.757707,AAPL,169.87
2025-09-20T14:30:23.770722,AAPL,166.42
2025-09-20T14:30:23.783541,AAPL,166.85
2025-09-20T14:30:23.796182,AAPL,170.75
2025-09-20T14:30:23.807513,AAPL,168.04
2025-09-20T14:30:23.817956,AAPL,170.01
2025-09-20T14:30:23.828346,AAPL,171.2
2025-09-20T14:30:23.840228,AAPL,175.3
2025-09-20T14:30:23.851968,AAPL,172.57
2025-09-20T14:30:23.864637,AAPL,171.3
2025-09-20T14:30:23.877342,AAPL,173.54
2025-09-20T14:30:23.888054,AAPL,169.66
2025-09-20T14:30:23.901865,AAPL,170.49
2025-09-20T14:30:23.916560,AAPL,167.3
2025-09-20T14:30:23.928497,AAPL,168.24
2025-09-20T14:30:23.941145,AAPL,164.07
2025-09-20T14:30:23.952966,AAPL,164.6
2025-09-20T14:30:23.965348,AAPL,160.01
2025-09-20T14:30:23.977960,AAPL,159.91
